channel,campaign_name,package,month,Spend,Impressions,corrected_spend,corrected_impressions,method,ecpm
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodMidRoll_CRS_POD_MI030_A18+_CPM_NONSPR,2025-01,91125.0,2603565.0,121125.0,4000000.0,CPM,33.61254757441589
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodMidRoll_CRS_POD_MI030_A18+_CPM_NONSPR,2025-02,106267.0,3036158.0,136267.0,4036158.0,CPM,33.76156235707323
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodMidRoll_CRS_POD_MI030_A18+_CPM_NONSPR,2025-03,95925.0,2903311.0,125925.0,3903311.0,CPM,32.261072714933555
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodPreRoll_CRS_POD_PR030_A18+_CPM_NONSPR,2025-01,62458.0,2498416.0,92458.0,3498416.0,CPM,26.42853222715652
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodPreRoll_CRS_POD_PR030_A18+_CPM_NONSPR,2025-02,69489.0,2779542.0,99489.0,3779542.0,CPM,26.32303067408697
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodPreRoll_CRS_POD_PR030_A18+_CPM_NONSPR,2025-03,63561.0,2694044.0,93561.0,3694044.0,CPM,25.327527230319944
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_RON Pre/Mid Roll AV + PostRoll AV_CRS_POD_PR030_A18+_PAV_NONSPR,2025-01,0.0,851012.0,30000.0,1851012.0,PAV,16.20735035753415
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_RON Pre/Mid Roll AV + PostRoll AV_CRS_POD_PR030_A18+_PAV_NONSPR,2025-02,0.0,749492.0,30000.0,1749492.0,PAV,17.147834914363713
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_RON Pre/Mid Roll AV + PostRoll AV_CRS_POD_PR030_A18+_PAV_NONSPR,2025-03,0.0,788607.0,30000.0,1788607.0,PAV,16.77282935826596
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Mel Robbins Pod Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,119971.0,4544442.0,149971.0,5544442.0,CPM,27.048889680873206
